time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,col9
5.207921265E9,-4.20065381,-1.97283137173402,-3.75483232077451,-4.31432696796886,-4.46039323360575,-4.49833982239238,-4.521967236448,10.7762
5.207923442E9,-4.206646407,-1.9895322731345,-3.76538596541474,-4.32132516956606,-4.46590906370729,-4.50305350912425,-4.52634023168295,10.7762
5.207925618E9,-4.211887698,-2.0043830330587,-3.77471466556134,-4.32746560171325,-4.47072130826339,-4.50714678339585,-4.53012791428763,10.7762
5.207927795E9,-4.216139529,-2.01682574295021,-3.78244189838054,-4.33247872621928,-4.47460552019834,-4.51041966153546,-4.53314058782128,10.7762
5.207929972E9,-4.219656182,-2.02746048288962,-3.78897163347336,-4.33665273261274,-4.47780112425967,-4.51308522988236,-4.5355802545359,10.7762
5.207932149E9,-4.222522614,-2.03648896005301,-3.79443936840817,-4.34008401425418,-4.48038805234676,-4.51521455393944,-4.53751424655181,10.7762
5.207934325E9,-4.22451843,-2.04339518616958,-3.79849678652443,-4.34252315801231,-4.48215857847525,-4.51662252506099,-4.53876696573201,10.7762
5.207936502E9,-4.225900823,-2.04878583380931,-3.80155232881656,-4.34426161999445,-4.48335488320742,-4.51752468159683,-4.53954273953137,10.7762
5.207938679E9,-4.226783679,-2.05293027173568,-3.80378716676486,-4.34542852131008,-4.48408416833054,-4.51801638492649,-4.53993194578234,10.7762
5.207940856E9,-4.227118108,-2.0557155891624,-3.80512468999097,-4.34596866750607,-4.48430027661076,-4.51805640116039,-4.53989541840284,10.7762
5.207943033E9,-4.226994257,-2.05735504341373,-3.80570831768141,-4.34598426727516,-4.48408806237555,-4.5177202080644,-4.53950468863425,10.7762
5.207945209E9,-4.226497699,-2.05805097258862,-3.80567414442718,-4.34557233332617,-4.48352807953302,-4.51707946182846,-4.5388276679195,10.7762
5.207947386E9,-4.225595571,-2.05772784700492,-3.80497082306395,-4.34469579477694,-4.48258928385402,-4.516106401913,-4.53783797439609,10.7762
5.207949563E9,-4.224368196,-2.05657560300108,-3.80372609559106,-4.34344571155135,-4.48134728683479,-4.51486828289601,-4.5365993456249,10.7762
5.20795174E9,-4.223030313,-2.05510010002208,-3.80228064233422,-4.3420653585738,-4.48000432825357,-4.5135451110094,-4.53528243407558,10.7762
5.207953916E9,-4.221431031,-2.05294802891632,-3.80039596693882,-4.34038397249674,-4.4784181931808,-4.51201015506247,-4.53376701959617,10.7762
5.207956093E9,-4.2196463,-2.05029901376569,-3.7981928542348,-4.33848765453227,-4.47666037562735,-4.51032699763053,-4.53211335543415,10.7762
5.20795827E9,-4.217839071,-2.04753697721021,-3.79592983421308,-4.33656101106267,-4.47488433914356,-4.5086322194011,-4.5304509197184,10.7762
5.207960447E9,-4.215872232,-2.04434098579874,-3.79339023586014,-4.3344488818195,-4.4729608499713,-4.5068106488995,-4.52867045413105,10.7762
5.207962623E9,-4.213922894,-2.04112866339289,-3.79085518343957,-4.33235194035334,-4.4710566907079,-4.50501069019082,-4.52691263068868,10.7762
5.2079648E9,-4.211956095,-2.03781850757614,-3.78826956208922,-4.33023064928101,-4.46913889179505,-4.50320293575932,-4.52514953929738,10.7762
5.207966977E9,-4.209910032,-2.03426670912215,-3.78553605354322,-4.32801513953376,-4.46714915912389,-4.50133537097766,-4.52333180473218,10.7762
5.207969154E9,-4.207843428,-2.03061266895149,-3.7827482424432,-4.32577202139354,-4.46514274509859,-4.49945708736277,-4.52150592544994,10.7762
5.20797133E9,-4.205879647,-2.02714723355414,-3.78010191291023,-4.3236410646645,-4.46323582204978,-4.49767145308682,-4.5197698830118,10.7762
5.207973507E9,-4.203930316,-2.02366404432257,-3.77745761442831,-4.32152230389934,-4.46134507032517,-4.49590417793302,-4.51805318342087,10.7762
5.207975684E9,-4.201863104,-2.01985338452584,-3.77460625053637,-4.31926599340306,-4.45934576087648,-4.49404410778752,-4.51625038059907,10.7762
5.207977861E9,-4.199978175,-2.01642179267992,-3.77202372875167,-4.31721212167921,-4.45752061573945,-4.4923428869052,-4.51460004614618,10.7762
5.207980038E9,-4.198111099,-2.01298390370719,-3.76945002079583,-4.31517457741791,-4.45571467673835,-4.49066246093079,-4.51297123416905,10.7762
5.207982214E9,-4.196218998,-2.00944032765489,-3.7668177650032,-4.31310491783527,-4.45388748131249,-4.48896669766193,-4.51132963210177,10.7762
5.207984391E9,-4.194441009,-2.00611889911161,-3.76434768896568,-4.31116076517647,-4.45217006539543,-4.48737220116461,-4.50978577303302,10.7762
5.207986568E9,-4.192773049,-2.00301093634187,-3.76203369060838,-4.30933756878404,-4.45055853737321,-4.48587543475299,-4.5083362684905,10.7762
5.207988745E9,-4.191149869,-1.99996429937912,-3.75977290210125,-4.30756153936432,-4.44899136817909,-4.48442152252958,-4.50692903939876,10.7762
5.207990921E9,-4.189679335,-1.99723317222373,-3.75773645055362,-4.30595487502136,-4.44757014210075,-4.48310085607108,-4.50564976899322,10.7762
5.207993098E9,-4.188407464,-1.99492627581583,-3.75599745133786,-4.30456972880793,-4.44633818233656,-4.48195196169662,-4.50453496543424,10.7762
5.207995275E9,-4.187201985,-1.99273365315006,-3.75434675607242,-4.30325639406096,-4.44517083511809,-4.48086378488639,-4.50347929283761,10.7762
5.207997452E9,-4.186041812,-1.99060624268806,-3.75275116382847,-4.30199103325329,-4.44404821140643,-4.47981857927024,-4.50246590542233,10.7762
5.207999628E9,-4.185098573,-1.98894774255354,-3.75148265697623,-4.30096801797192,-4.4431319808588,-4.47896025652319,-4.50163124571531,10.7762
5.208001805E9,-4.184278681,-1.98753887152675,-3.75039326602314,-4.30008142709424,-4.442333944669,-4.47821023852952,-4.50090078116018,10.7762
5.208003982E9,-4.183621638,-1.98647299194979,-3.74954576877953,-4.29937603275986,-4.44169129074113,-4.47760159316915,-4.50030584620227,10.7762
5.208006159E9,-4.183203158,-1.98592813333308,-3.74906012257135,-4.29893757661526,-4.44127534314783,-4.47719781336885,-4.49990664005994,10.7762
5.208008335E9,-4.182977277,-1.98579673171425,-3.74886370726858,-4.29871404742883,-4.44104277760791,-4.47696029029943,-4.49966653661328,10.7762
5.208010512E9,-4.182903905,-1.98598508299414,-3.74889323023921,-4.29866009030664,-4.44095580090778,-4.47685533590307,-4.49955357375801,10.7762
5.208012689E9,-4.183016486,-1.98657180831204,-3.74920167094623,-4.2988135770767,-4.4410459188058,-4.47691099775503,-4.4995943446175,10.7762
5.208014866E9,-4.183301273,-1.98752485752553,-3.74976735838077,-4.29915896174733,-4.44130016782806,-4.47711571409742,-4.49977787666358,10.7762
5.208017043E9,-4.183714334,-1.98874151970974,-3.75052092533149,-4.29964654115264,-4.44167713413661,-4.47743257255311,-4.50006915009437,10.7762
5.208019219E9,-4.184311203,-1.99035241279031,-3.75155037299135,-4.30033920743567,-4.4422291298842,-4.47790813900479,-4.50051231389765,10.7762
5.208021396E9,-4.185141473,-1.99247421607904,-3.75293430239685,-4.30129312749635,-4.44300286923483,-4.47858399347931,-4.50114678864055,10.7762
5.208023573E9,-4.18611376,-1.99489266320959,-3.7545281743567,-4.30240486320514,-4.44391223656042,-4.47938342864219,-4.50189982329007,10.7762
5.20802575E9,-4.18730278,-1.99778362093136,-3.75645044074794,-4.30375904125073,-4.44502760666675,-4.48036907909471,-4.50283079673802,10.7762
5.208027926E9,-4.188745022,-2.00123290058611,-3.75875891921251,-4.30539698454294,-4.44638335218345,-4.48157154310806,-4.50396871975176,10.7762
5.208030103E9,-4.190374137,-2.00508506791025,-3.76134872294239,-4.30724360343579,-4.44791694262033,-4.48293511230981,-4.50526075256276,10.7762
5.20803228E9,-4.192039228,-2.00898586419307,-3.76398100199722,-4.30912806068274,-4.44948620275463,-4.4843331799652,-4.50658683571414,10.7762
5.208034457E9,-4.193775117,-2.01301723026803,-3.76671095396808,-4.31108979575478,-4.45112393245577,-4.48579494100017,-4.50797464781393,10.7762
5.208036633E9,-4.195589598,-2.01719793071712,-3.76955110622598,-4.31313767074295,-4.45283745207185,-4.48732687964259,-4.50943032084697,10.7762
5.20803881E9,-4.197510421,-2.0215937520396,-3.77254564350134,-4.31530315476214,-4.45465287600784,-4.48895220330232,-4.51097583886145,10.7762
5.208040987E9,-4.199582503,-2.02631035544036,-3.77576575138908,-4.31763711808949,-4.45661251460049,-4.49070857478972,-4.51264690985487,10.7762
5.208043164E9,-4.201739594,-2.03119218519738,-3.77910655781277,-4.32006455480267,-4.45865394809936,-4.49254041191013,-4.51439082714672,10.7762
5.20804534E9,-4.204051704,-2.03640430004986,-3.78267916478375,-4.32266478358042,-4.46084310533702,-4.49450637300161,-4.51626319055965,10.7762
5.208047517E9,-4.206472532,-2.04183797748082,-3.7864102770084,-4.32538538366773,-4.46313636251348,-4.49656761401771,-4.51822716614488,10.7762
5.208049694E9,-4.208940394,-2.04734825103124,-3.79020219728805,-4.32815650809787,-4.46547560845782,-4.49867239941335,-4.52023369977941,10.7762
5.208051871E9,-4.211444349,-2.05290988123886,-3.79403778995192,-4.33096580661706,-4.46785051237528,-4.50081149674199,-4.52227402032864,10.7762
5.208054048E9,-4.213982619,-2.05851902379735,-3.79791437625036,-4.33381129347164,-4.47025938263448,-4.50298337570552,-4.52434666489158,10.7762
5.208056224E9,-4.216491738,-2.06402653427404,-3.80173143920018,-4.33662110430522,-4.47264242881191,-4.50513480426981,-4.52640115973006,10.7762
5.208058401E9,-4.219043051,-2.06960053555552,-3.80560216610474,-4.33947606359558,-4.47506684097742,-4.50732556961824,-4.52849417790229,10.7762
5.208060578E9,-4.221659163,-2.075294639873,-3.80956256056253,-4.34240180825585,-4.47755389065335,-4.50957457438826,-4.53064362509391,10.7762
5.208062755E9,-4.224366905,-2.08117201503753,-3.813655168233,-4.34542873018431,-4.48012884912458,-4.51190431136656,-4.53287082530875,10.7762
5.208064931E9,-4.227124749,-2.08713533493713,-3.81781432485458,-4.34850982750953,-4.48275258031251,-4.51427991763134,-4.53514271245984,10.7762
5.208067108E9,-4.229865455,-2.09302717227722,-3.82193377098334,-4.35156900923913,-4.48536170937671,-4.51664492429651,-4.53740572143077,10.7762
5.208069285E9,-4.232557139,-2.09877297468076,-3.82596315965636,-4.35457020233863,-4.4879261803585,-4.51897254321346,-4.53963443798666,10.7762
5.208071462E9,-4.235128154,-2.10420475164851,-3.82978916485251,-4.35743230805575,-4.49037847691152,-4.52120263248299,-4.54177182133209,10.7762
5.208073638E9,-4.237613558,-2.10940583208854,-3.83346769408312,-4.36019510024364,-4.49275158000458,-4.52336448441771,-4.54384561122914,10.7762
5.208075815E9,-4.239978821,-2.11429586573047,-3.83694437612559,-4.36281954274333,-4.49501292015191,-4.52542903945725,-4.54582822337734,10.7762
5.208077992E9,-4.242275622,-2.11899694596028,-3.84030132538136,-4.36536420647333,-4.49721115126739,-4.52743956708022,-4.54776066183882,10.7762
5.208080169E9,-4.244571614,-2.123669066573,-3.84364610463903,-4.36790578005309,-4.49940995816548,-4.52945269282129,-4.54969658183755,10.7762
5.208082345E9,-4.246866844,-2.12831340531532,-3.84697922003118,-4.37044440302694,-4.50160933230588,-4.531468327929,-4.55163585955751,10.7762
5.208084522E9,-4.249091213,-2.13276591285613,-3.85018991667103,-4.37290075320929,-4.50374320077025,-4.5334275908033,-4.55352263716034,10.7762
5.208086699E9,-4.251297507,-2.13715162650232,-3.85336220275945,-4.37533468327314,-4.50586124340366,-4.53537463921371,-4.55539874866145,10.7762
5.208088876E9,-4.253351383,-2.14115599225927,-3.85628375208325,-4.37759416067555,-4.50783684103879,-4.53719664509039,-4.55715716505618,10.7762
5.208091053E9,-4.2553612,-2.14503493320734,-3.85912671239741,-4.37980198991107,-4.50977201350467,-4.53898434638272,-4.55888387763426,10.7762
5.208093229E9,-4.257379692,-2.14884191549471,-3.86195925604285,-4.38200203450328,-4.51170149263679,-4.54077310935992,-4.56061409105003,10.7762
5.208095406E9,-4.259294344,-2.15226537543325,-3.86459295696068,-4.38405620579388,-4.51350915682313,-4.54246251100138,-4.56225369205923,10.7762
5.208097583E9,-4.261003923,-2.15522047972169,-3.86690149328415,-4.38588377546537,-4.51513115474474,-4.54398599918412,-4.56373589607133,10.7762
5.20809976E9,-4.262558142,-2.15781781194108,-3.86896243880739,-4.38753948405906,-4.51661272576017,-4.545384230893,-4.56509938802137,10.7762
5.208101936E9,-4.264070143,-2.16030790854449,-3.87095186078475,-4.38914784209735,-4.51805692105525,-4.54674991539383,-4.56643242617338,10.7762
5.208104113E9,-4.265526447,-2.16266231782023,-3.87284937483839,-4.39069410651535,-4.51945135443352,-4.54807180006678,-4.56772424425064,10.7762
5.20810629E9,-4.266963039,-2.16496141168632,-3.87471127106909,-4.39221792267259,-4.52082874779298,-4.54937927010456,-4.56900279035526,10.7762
5.208108467E9,-4.268340176,-2.16711840450607,-3.87647621984751,-4.39367563327653,-4.52215280691355,-4.5506395765015,-4.57023684030161,10.7762
5.208110643E9,-4.269642404,-2.16910028939314,-3.87812068635904,-4.39505031002906,-4.52340936074203,-4.55183987391051,-4.57141411826496,10.7762
5.20811282E9,-4.27084534,-2.1708543743698,-3.87960727808969,-4.39631520429557,-4.52457609860333,-4.55295998617651,-4.57251536590681,10.7762
5.208114997E9,-4.272131302,-2.17278343725785,-3.88121931262457,-4.39767089227902,-4.52581915380793,-4.55414945949594,-4.57368298885996,10.7762
5.208117174E9,-4.273273228,-2.17438756538394,-3.88260466748252,-4.3988676838961,-4.52693148653207,-4.55522178963881,-4.57473932168101,10.7762
5.20811935E9,-4.274535467,-2.17625066220841,-3.88417409293606,-4.40019639504741,-4.52815398760573,-4.55639382864588,-4.57589086702245,10.7762
5.208121527E9,-4.275893941,-2.17832048115539,-3.88589057340631,-4.40163059777706,-4.52946464295147,-4.55764568941529,-4.57711865163628,10.7762
5.208123704E9,-4.277392349,-2.18069395744516,-3.88782218325149,-4.40321839287265,-4.53090324238926,-4.55901316339386,-4.57845674405568,10.7762
5.208125881E9,-4.279084195,-2.18348975512863,-3.89005226216935,-4.40501867244496,-4.53251850549097,-4.5605400772184,-4.57994686229892,10.7762
5.208128058E9,-4.280879662,-2.18651058048143,-3.89244171555798,-4.4069326979075,-4.53422849995566,-4.56215259063168,-4.58151864832469,10.7762
5.208130234E9,-4.28286117,-2.18993863816244,-3.89511867361439,-4.40905115118973,-4.53610832153027,-4.56391830163708,-4.5832364701023,10.7762
5.208132411E9,-4.285084555,-2.19389728577755,-3.89816990547837,-4.41143546016485,-4.53820885114717,-4.56588302097175,-4.58514395333778,10.7762
5.208134588E9,-4.287561941,-2.19841359949797,-3.90161437484882,-4.4140989818469,-4.54054111527967,-4.56805665967339,-4.58725052663713,10.7762
5.208136765E9,-4.290239605,-2.20336936088504,-3.9053687951044,-4.41698264332925,-4.54305612381687,-4.57039508428566,-4.58951414631601,10.7762
5.208138941E9,-4.293292081,-2.20914930536107,-3.90970402856217,-4.42027840249824,-4.54591298819853,-4.57304161171611,-4.59207132500967,10.7762
5.208141118E9,-4.296670211,-2.2156446842655,-3.91454362171395,-4.42393216873724,-4.54906692672937,-4.57595594741471,-4.59488369897711,10.7762
5.208143295E9,-4.300333268,-2.22276538408542,-3.91982422671123,-4.42789912741967,-4.55248083944359,-4.5791047102234,-4.59791948724818,10.7762
5.208145472E9,-4.304345724,-2.23065302340758,-3.92564568607043,-4.43225015425108,-4.55621354196927,-4.58254092414555,-4.60122921757213,10.7762
5.208147648E9,-4.308750696,-2.23940165694794,-3.93207449385197,-4.4370326064901,-4.56030442075519,-4.58630015303227,-4.60484680586836,10.7762
5.208149825E9,-4.313726413,-2.24940315711196,-3.93938681896775,-4.44244244048256,-4.56491603727051,-4.59052891380895,-4.60891185503772,10.7762
5.208152002E9,-4.319069587,-2.26020794762153,-3.94726655765033,-4.44825597939425,-4.56986318309552,-4.59506050816536,-4.61326563994715,10.7762
5.208154179E9,-4.324788798,-2.27183323406517,-3.95572630142131,-4.4544825491314,-4.57515381585559,-4.59990224805435,-4.61791519379572,10.7762
5.208156356E9,-4.330826835,-2.28415062487478,-3.96467629798378,-4.46105907963758,-4.58073595991096,-4.6050075037139,-4.62281619041765,10.7762
5.208158532E9,-4.337610038,-2.29809800930344,-3.97477737831135,-4.46845434847681,-4.58699843850184,-4.61072668411263,-4.62830248436183,10.7762
5.208160709E9,-4.344620778,-2.31253109433625,-3.98522484718353,-4.47609884068214,-4.59346961525932,-4.61663521465076,-4.63396978125227,10.7762
5.208162886E9,-4.351837671,-2.32739928610545,-3.99598405394135,-4.48396881359255,-4.60013026761914,-4.62271605765648,-4.63980198697694,10.7762
5.208165063E9,-4.359534449,-2.34330235837545,-4.00747826887871,-4.4923650908177,-4.60723022977841,-4.62919456275254,-4.64601389982807,10.7762
5.208167239E9,-4.368364325,-2.36167680789374,-4.02071977253847,-4.50200587413227,-4.61536527739745,-4.63660771397927,-4.65311716122931,10.7762
5.208169416E9,-4.37722245,-2.38008112699895,-4.03399138169052,-4.51167562696119,-4.62352864753098,-4.6440490798448,-4.66024858715816,10.7762
5.208171593E9,-4.386306567,-2.39867162154525,-4.04758142370083,-4.52152122494465,-4.63178501222353,-4.65157450852559,-4.66746632210593,10.7762
5.20817377E9,-4.396342195,-2.41885660238995,-4.06260303116399,-4.53229241248218,-4.64071695229799,-4.65970725129803,-4.67527218632591,10.7762
5.208175946E9,-4.407737445,-2.44188697156736,-4.07970922127804,-4.54452863867495,-4.65084674629574,-4.6689218057937,-4.68411218170295,10.7762
5.208178123E9,-4.420550271,-2.46788189413045,-4.09898787854582,-4.55829223525306,-4.66222570259448,-4.67926475636019,-4.69403093792317,10.7762
5.2081803E9,-4.433310619,-2.49371424475325,-4.11816233791179,-4.57199650052615,-4.6735643693639,-4.68957613946149,-4.70392167826625,10.7762
5.208182477E9,-4.447042656,-2.5215575954227,-4.13881642680046,-4.58674659710865,-4.6857616728403,-4.70066513586491,-4.71455670343609,10.7762
5.208184653E9,-4.461720227,-2.55135441543393,-4.16090876802193,-4.60251419051666,-4.69879489692705,-4.71251154411253,-4.72591682981124,10.7762
5.20818683E9,-4.477663269,-2.58378370021938,-4.1849341015472,-4.61964451366308,-4.71294487263971,-4.72536824351343,-4.7382434303277,10.7762
5.208189007E9,-4.493971945,-2.61687413452774,-4.20955311794849,-4.63713447928274,-4.72729547923968,-4.73836322186383,-4.75073298813203,10.7762
5.208191184E9,-4.508162919,-2.64516221127957,-4.23109036629506,-4.65220352099131,-4.73926942534144,-4.74902716954904,-4.76111915116106,10.7762
5.208193361E9,-4.5251901,-2.67935591408987,-4.25705164268781,-4.67029510653746,-4.75359732097967,-4.76176198503606,-4.77351582386521,10.7762
5.208195537E9,-4.536444511,-2.70136210080496,-4.27392919019524,-4.68222769177338,-4.76316000075449,-4.7703240999638,-4.78186656544117,10.7762
5.208197714E9,-4.53268874,-2.69176460915302,-4.26722803974853,-4.67814931359541,-4.76031897912623,-4.76801389018524,-4.77967231483528,10.7762
5.208199891E9,-4.567034452,-2.76219995360063,-4.32028899859836,-4.71470489863375,-4.78899258544966,-4.79334952158113,-4.804297426743,10.7762
5.208202068E9,-4.596541309,-2.82241405846066,-4.36573331049835,-4.74609772881551,-4.81367272153571,-4.81518953616297,-4.82553352100068,10.7762
5.208204244E9,-4.601343951,-2.83064678868964,-4.37238655167433,-4.7511405074325,-4.81793336659453,-4.81912639147304,-4.82940415207222,10.7762
5.208206421E9,-4.600084987,-2.82608229303663,-4.36950144483967,-4.74971598765843,-4.81719037517061,-4.818680452436,-4.82902468264919,10.7762
5.208208598E9,-4.609296838,-2.8445768418431,-4.3831348237081,-4.75900855810233,-4.82464776454041,-4.82549435529563,-4.83566151514326,10.7762
5.208210775E9,-4.635017905,-2.90229396435145,-4.42312157919816,-4.78405522302149,-4.84383708301434,-4.84285661014632,-4.85241743918865,10.7762
5.208212951E9,-4.65756848,-2.95255930769461,-4.45803397846615,-4.80602156193285,-4.86072813252303,-4.85816769948725,-4.8672041800828,10.7762
5.208215128E9,-4.671398484,-2.9823797242949,-4.47902341205228,-4.81952106111219,-4.87128763046984,-4.86781764973298,-4.8765529487258,10.7762
5.208217305E9,-4.68083623,-3.00186882457601,-4.49298629688784,-4.82875713916907,-4.87866488949726,-4.87462493460747,-4.88317212140124,10.7762
